,Location,Date,Hour,Measurement
815,siwak,2019-05-16,22,
816,siwak,2019-05-17,2,
817,siwak,2019-05-17,6,6.35
818,siwak,2019-05-17,10,
819,siwak,2019-05-17,14,
820,siwak,2019-05-17,18,
821,siwak,2019-05-17,22,
822,siwak,2019-05-18,2,
823,siwak,2019-05-18,6,6.3
824,siwak,2019-05-18,10,
825,siwak,2019-05-18,14,
826,siwak,2019-05-18,18,
827,siwak,2019-05-18,22,
828,siwak,2019-05-19,2,
829,siwak,2019-05-19,6,6.6
830,siwak,2019-05-19,10,
831,siwak,2019-05-19,14,
832,siwak,2019-05-19,18,
833,siwak,2019-05-19,22,
834,siwak,2019-05-20,2,
835,siwak,2019-05-20,6,6.05
836,siwak,2019-05-20,10,
837,siwak,2019-05-20,14,
838,siwak,2019-05-20,18,
839,siwak,2019-05-20,22,
840,siwak,2019-05-21,2,
841,siwak,2019-05-21,6,5.95
